2017-06-29 07:44:43,005 [Worker-35] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' D:\Shared\MyFiles\Actibyti\Empleabilidad\trunk\M3\U15\workspace\FirstHbnMvn\pom.xml
2017-06-29 07:44:47,940 [Worker-35] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Netmind:FirstHbnMvn:0.0.1-SNAPSHOT @ D:\Shared\MyFiles\Actibyti\Empleabilidad\trunk\M3\U15\workspace\FirstHbnMvn\pom.xml.
2017-06-29 07:44:49,510 [Worker-35] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /FirstHbnMvn/src/main/java
2017-06-29 07:44:49,512 [Worker-35] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /FirstHbnMvn/src/main/resources
2017-06-29 07:44:49,574 [Worker-35] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /FirstHbnMvn/src/test/java
2017-06-29 07:44:52,112 [Worker-35] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 9 sec
2017-06-29 07:44:52,857 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-29 07:44:52,874 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-29 07:44:52,878 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-29 07:44:52,889 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Shared\MyFiles\Actibyti\Empleabilidad\trunk\M3\U15\workspace\FirstHbnMvn\src\test\resources
2017-06-29 07:45:39,556 [Worker-46] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-29 07:45:39,565 [Worker-46] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-29 07:45:39,567 [Worker-46] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-29 07:45:39,571 [Worker-46] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Shared\MyFiles\Actibyti\Empleabilidad\trunk\M3\U15\workspace\FirstHbnMvn\src\test\resources
2017-06-29 07:45:51,102 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-29 07:45:51,107 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-29 07:45:51,112 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-29 07:45:51,118 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Shared\MyFiles\Actibyti\Empleabilidad\trunk\M3\U15\workspace\FirstHbnMvn\src\test\resources
2017-06-29 07:46:20,446 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-29 07:46:20,456 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
